word1,count,Prob
bash,1,0.000106045
basi,2,0.000212089
basic,1,0.000106045
basketbal,4,0.000424178
bass,2,0.000212089
bat,5,0.000530223
batter,2,0.000212089
battl,1,0.000106045
bay,1,0.000106045
bayer,1,0.000106045
baylor,2,0.000212089
baysid,1,0.000106045
bc,1,0.000106045
beach,3,0.000318134
bean,1,0.000106045
bear,1,0.000106045
beat,6,0.000636267
beauti,7,0.000742312
becam,1,0.000106045
beckon,1,0.000106045
becom,6,0.000636267
bed,5,0.000530223
bedminst,1,0.000106045
bedroom,1,0.000106045
beef,1,0.000106045
beeh,1,0.000106045
beer,1,0.000106045
beg,2,0.000212089
began,4,0.000424178
begin,5,0.000530223
begun,1,0.000106045
behav,1,0.000106045
behaviour,1,0.000106045
behind,7,0.000742312
belief,1,0.000106045
believ,12,0.00116649
bellevu,1,0.000106045
belong,1,0.000106045
belov,1,0.000106045
ben,1,0.000106045
benefit,5,0.000530223
benjamin,1,0.000106045
benni,1,0.000106045
bent,2,0.000212089
benyon,1,0.000106045
berat,1,0.000106045
bergen,1,0.000106045
berri,1,0.000106045
best,9,0.000954401
bestfriend,1,0.000106045
bestman,2,0.000212089
better,8,0.000848356
beyonc,1,0.000106045
beyond,4,0.000424178
bff,1,0.000106045
bi,6,0.000636267
bias,1,0.000106045
big,4,0.000424178
bigger,1,0.000106045
biggest,4,0.000318134
bike,2,0.000212089
bill,8,0.000742312
bin,2,0.000106045
biomed,1,0.000106045
bird,3,0.000318134
bit,11,0.000954401
bitch,1,0.000106045
bitter,1,0.000106045
bl,1,0.000106045
black,10,0.000954401
blackberri,1,0.000106045
blake,1,0.000106045
blakeman,1,0.000106045
blame,1,0.000106045
blatant,1,0.000106045
bleed,1,0.000106045
block,4,0.000424178
blog,3,0.000318134
blogrol,1,0.000106045
bloodi,1,0.000106045
bloom,1,0.000106045
blossom,1,0.000106045
blow,1,0.000106045
blue,3,0.000318134
board,3,0.000318134
boast,1,0.000106045
bob,2,0.000212089
bodi,4,0.000424178
bodysnatch,1,0.000106045
boeger,1,0.000106045
boggl,1,0.000106045
bold,1,0.000106045
bollywood,1,0.000106045
bolt,1,0.000106045
bomb,5,0.000530223
