word1,word2,count,Cn1,Prob
along,axi,1,4,0.062579533
along,interview,1,4,0.062818134
along,one,1,4,0.066397137
along,way,1,4,0.063931601
alot,know,1,1,0.252863203
alp,côte,1,1,0.250079533
alreadi,copyeditor,1,12,0.020906239
alreadi,dead,1,12,0.021270767
alreadi,follow,1,12,0.022072729
alreadi,got,1,12,0.022437257
alreadi,gotten,1,12,0.020906239
alreadi,haha,1,12,0.021416578
alreadi,italian,1,12,0.020979145
alreadi,know,2,12,0.106791269
alreadi,largest,1,12,0.020979145
alreadi,one,1,12,0.024405709
alreadi,spend,1,12,0.021343673
alright,one,1,1,0.253897137
also,come,1,22,0.013351971
also,factor,1,22,0.011602237
also,get,1,22,0.01541984
also,give,1,22,0.012477104
also,good,1,22,0.013749638
also,help,1,22,0.012715704
also,increas,1,22,0.011522703
also,know,1,22,0.014226839
also,love,1,22,0.014306372
also,make,1,22,0.014624506
also,mention,1,22,0.01168177
also,need,1,22,0.013351971
also,new,1,22,0.014067772
also,old,1,22,0.01168177
also,ponder,1,22,0.01144317
also,said,1,22,0.016135641
also,see,1,22,0.012795238
also,show,1,22,0.012477104
also,snap,1,22,0.011602237
also,someth,1,22,0.012079437
also,tremend,1,22,0.01144317
also,work,1,22,0.013749638
altern,argument,1,1,0.250159067
although,belov,1,4,0.062579533
although,mayb,1,4,0.0629772
although,one,1,4,0.066397137
although,went,1,4,0.0627386
altogeth,coverag,1,1,0.250079533
alva,edison,1,1,0.250079533
alvin,texa,1,1,0.250079533
alway,better,1,17,0.01534215
alway,big,1,17,0.015024016
alway,bit,1,17,0.015421683
alway,busi,1,17,0.015739817
alway,buy,1,17,0.015103549
alway,funnier,1,17,0.014785416
alway,job,1,17,0.01534215
alway,labour,1,17,0.014785416
alway,make,1,17,0.017966752
alway,now,1,17,0.016614684
alway,rememb,1,17,0.015103549
alway,run,1,17,0.015898883
alway,safe,1,17,0.014864949
alway,sound,1,17,0.015501216
alway,take,1,17,0.016535151
alway,wake,1,17,0.014785416
alway,wonder,1,17,0.015183083
alyssa,now,1,1,0.251908802
amaz,event,1,5,0.0502386
amaz,get,1,5,0.054056204
amaz,imag,1,5,0.050715801
amaz,power,1,5,0.050556734
amaz,sunset,1,5,0.050159067
amazon,websit,1,1,0.250318134
